iter	Poisson
140	-7.697706238
141	-7.697843855
142	-7.698024518
143	-7.698104845
144	-7.69856967
145	-7.699181265
146	-7.699257914
147	-7.699328943
148	-7.699637355
149	-7.699669819
150	-7.699758742
151	-7.699799106
152	-7.699988593
153	-7.70006424
154	-7.700113444
155	-7.700181998
156	-7.700228608
157	-7.700349383
158	-7.700424849
159	-7.700490697
160	-7.700548527
161	-7.700650637
162	-7.700708026
163	-7.70088971
164	-7.70097992
165	-7.701134878
166	-7.701256144
167	-7.701304686
168	-7.701357351
169	-7.701407805
170	-7.701470712
171	-7.701544963
172	-7.701682944
173	-7.701726524
174	-7.701837587
175	-7.702055014
176	-7.702100743
177	-7.702189865
178	-7.702321899
179	-7.702352818
180	-7.702726387
181	-7.702762195
182	-7.702982651
183	-7.703428355
184	-7.703459119
185	-7.703485951
186	-7.703571917
187	-7.703692382
188	-7.70381105
189	-7.703849818
190	-7.703899367
191	-7.704179312
192	-7.704322352
193	-7.704510366
194	-7.704674511
195	-7.704818421
196	-7.704862901
197	-7.704876105
198	-7.704940682
199	-7.705006694
200	-7.705027168
201	-7.705089758
202	-7.70547088
203	-7.705512873
204	-7.705617647
205	-7.705642279
206	-7.705662632
207	-7.705682878
208	-7.705820937
209	-7.705860304
210	-7.706247849
211	-7.706590233
212	-7.707009313
213	-7.707047571
214	-7.707101855
215	-7.707168804
216	-7.707229691
217	-7.70725457
218	-7.707262203
219	-7.707362118
220	-7.707459586
221	-7.707484374
222	-7.707517783
223	-7.707534888
224	-7.707892816
225	-7.707893618
226	-7.708003137
227	-7.708297454
228	-7.708358801
229	-7.708376717
230	-7.708638805
231	-7.708688531
232	-7.708822497
233	-7.708920751
234	-7.708943742
235	-7.708965295
236	-7.708981094
237	-7.709187161
238	-7.709193511
239	-7.709213379
240	-7.709331404
241	-7.709345474
242	-7.709554575
243	-7.709729522
244	-7.709770063
245	-7.709789806
246	-7.709826509
247	-7.70983187
248	-7.709866136
249	-7.709896251
250	-7.709917832
251	-7.710076206
252	-7.710085098
253	-7.710105813
254	-7.710144797
255	-7.710256113
256	-7.710263511
257	-7.71032814
258	-7.710343894
259	-7.710350077
260	-7.71046732
261	-7.710476704
262	-7.710485123
263	-7.710500458
264	-7.710520449
265	-7.710565693
266	-7.710659503
267	-7.710785125
268	-7.710796143
269	-7.710813042
270	-7.710818518
271	-7.710869134
272	-7.710897506
273	-7.710947249
274	-7.7109658
275	-7.710993152
276	-7.711011231
277	-7.711018516
278	-7.711039925
279	-7.711088914
280	-7.711201918
281	-7.711214291
282	-7.711224396
283	-7.711245324
284	-7.711265853
285	-7.711268963
286	-7.711361573
287	-7.71139501
288	-7.711484944
289	-7.711510484
290	-7.711520344
291	-7.711522825
292	-7.711541305
293	-7.711560346
294	-7.711569249
295	-7.711570834
296	-7.711580077
297	-7.711591624
298	-7.711597805
299	-7.711603887
300	-7.711696019
301	-7.711701677
302	-7.711784976
303	-7.711797318
304	-7.711815545
305	-7.711895008
306	-7.711901689
307	-7.711906971
308	-7.711986835
309	-7.711997145
310	-7.712002818
311	-7.712076648
312	-7.712080468
313	-7.712086842
314	-7.712155526
315	-7.712159189
316	-7.712163763
317	-7.712219105
318	-7.712226349
319	-7.71228762
320	-7.712311954
321	-7.712323175
322	-7.712326136
323	-7.712334761
324	-7.712338198
325	-7.712354114
326	-7.712373798
327	-7.712378577
328	-7.712384354
329	-7.712441193
330	-7.712444433
331	-7.712464728
332	-7.712465414
333	-7.712477268
334	-7.712490141
335	-7.712494268
336	-7.712501812
337	-7.712506482
338	-7.712511039
339	-7.712516744
340	-7.712556578
341	-7.712602461
342	-7.712617239
343	-7.712619662
344	-7.712626164
345	-7.712634066
346	-7.712644295
347	-7.712648087
348	-7.712699367
349	-7.712705008
350	-7.712710878
351	-7.712741395
352	-7.712784099
353	-7.712788279
354	-7.71283377
355	-7.712841361
356	-7.712851407
357	-7.712854881
358	-7.71285655
359	-7.712868806
360	-7.71287164
361	-7.712904272
362	-7.71291077
363	-7.712921272
364	-7.712926391
365	-7.712931806
366	-7.712946809
367	-7.712952798
368	-7.712972788
369	-7.712978377
370	-7.712979941
371	-7.712983138
372	-7.712991253
373	-7.713013338
374	-7.713017652
375	-7.71302151
376	-7.713028804
377	-7.713029001
378	-7.713032588
379	-7.713035807
380	-7.713036359
381	-7.713041212
382	-7.713049333
383	-7.713051207
384	-7.713061595
385	-7.713064295
386	-7.713085548
387	-7.713091408
388	-7.713097
389	-7.713101482
390	-7.713104801
391	-7.713138521
392	-7.71314102
393	-7.713143411
394	-7.713146931
395	-7.713149306
396	-7.713181072
397	-7.713186584
398	-7.713192784
399	-7.713193826
400	-7.713225956
401	-7.713228509
402	-7.713232557
403	-7.713259072
404	-7.713260384
405	-7.71326267
406	-7.713280614
407	-7.713284387
408	-7.713283885
409	-7.713297508
410	-7.71330223
411	-7.713304421
412	-7.713309017
413	-7.713330619
414	-7.713357108
415	-7.713360685
416	-7.713360958
417	-7.713366499
418	-7.713368164
419	-7.713372606
420	-7.713375752
421	-7.713379661
422	-7.713377904
423	-7.713382512
424	-7.713384592
425	-7.713387177
426	-7.713387529
427	-7.713392512
428	-7.713400391
429	-7.713403431
430	-7.71340788
431	-7.71341079
432	-7.713412539
433	-7.713434098
434	-7.713451322
435	-7.713455665
436	-7.713456369
437	-7.713458261
438	-7.713461182
439	-7.713480396
440	-7.713482536
441	-7.713501562
442	-7.713505439
443	-7.713503785
444	-7.713516974
445	-7.713521528
446	-7.713522217
447	-7.713527672
448	-7.71352721
449	-7.713529025
450	-7.713529908
451	-7.713533112
452	-7.713536177
453	-7.713552084
454	-7.713550086
455	-7.713551741
456	-7.713555403
457	-7.713557395
458	-7.713559486
459	-7.713562173
460	-7.713578849
461	-7.713580581
462	-7.713585017
463	-7.713584554
464	-7.713589682
465	-7.71359087
466	-7.713592276
467	-7.713590361
468	-7.713591822
469	-7.713595049
470	-7.713594608
471	-7.713598006
472	-7.713601697
473	-7.713605103
474	-7.713607477
475	-7.71360796
476	-7.713609737
477	-7.713615232
478	-7.713617075
479	-7.71362085
480	-7.713619963
481	-7.713620499
482	-7.713623805
483	-7.713624604
484	-7.713628603
485	-7.713629076
486	-7.713630628
487	-7.713632964
488	-7.713633132
489	-7.713633198
490	-7.713633329
491	-7.713635772
492	-7.713638642
493	-7.713637225
494	-7.713639025
495	-7.71364591
496	-7.713646745
497	-7.713654241
498	-7.713665212
499	-7.713664355
500	-7.713666826
501	-7.71367154
502	-7.713674202
503	-7.713674162
504	-7.713683756
505	-7.713687512
506	-7.713687161
507	-7.713688753
508	-7.713693098
509	-7.71369383
510	-7.713695416
511	-7.713704818
512	-7.71370603
513	-7.713709996
514	-7.713708687
515	-7.713707291
516	-7.713716408
517	-7.713715859
518	-7.713719813
519	-7.713719807
520	-7.713720324
521	-7.713722148
522	-7.713725311
523	-7.713728022
524	-7.713729141
525	-7.713730022
526	-7.713731272
527	-7.713732465
528	-7.7137335
529	-7.713736233
530	-7.713733245
531	-7.713735102
532	-7.71373569
533	-7.71373712
534	-7.713738125
535	-7.713741103
536	-7.713740165
537	-7.713741577
538	-7.713743556
539	-7.713743244
540	-7.713745143
541	-7.713745587
542	-7.713747321
543	-7.713746922
544	-7.713748131
545	-7.713750344
546	-7.713749402
547	-7.713750104
548	-7.713751789
549	-7.713755409
550	-7.713755094
551	-7.713755551
552	-7.713755535
553	-7.713756137
554	-7.713758107
555	-7.713757618
556	-7.713757956
557	-7.713760862
558	-7.7137605
559	-7.713761194
560	-7.71376284
561	-7.713761447
562	-7.713764929
563	-7.713764864
564	-7.713765342
565	-7.713771681
566	-7.713772717
567	-7.713773178
568	-7.713784373
569	-7.713784296
570	-7.713784664
571	-7.713784384
572	-7.713787114
573	-7.71378786
574	-7.713787846
575	-7.713789404
576	-7.713788765
577	-7.713788599
578	-7.71379789
579	-7.713798846
580	-7.713799747
581	-7.713801121
582	-7.713801886
583	-7.713803736
584	-7.713813947
585	-7.713814712
586	-7.713814966
587	-7.713815545
588	-7.713814306
589	-7.713815879
590	-7.713822812
591	-7.713822682
592	-7.713822797
593	-7.71383152
594	-7.713831268
595	-7.713831
596	-7.71383351
597	-7.713842429
598	-7.713842909
599	-7.713842318
600	-7.713849848
601	-7.713849278
602	-7.713850063
603	-7.713850748
604	-7.713855482
605	-7.713857916
606	-7.713859225
607	-7.713857758
608	-7.713861719
609	-7.713860632
610	-7.71386153
611	-7.713863504
612	-7.713866438
613	-7.713867318
614	-7.713868908
615	-7.713869375
616	-7.713868267
617	-7.713871277
618	-7.713869677
619	-7.713869325
620	-7.713870853
621	-7.713872498
622	-7.713879586
623	-7.713880162
624	-7.713878804
625	-7.713878472
626	-7.713878624
627	-7.713879172
628	-7.713880768
629	-7.713882031
630	-7.71387973
631	-7.713882091
632	-7.71388962
633	-7.71388898
634	-7.713889179
635	-7.713893269
636	-7.713896328
637	-7.713894484
638	-7.713893856
639	-7.713896164
640	-7.713900245
641	-7.713901242
642	-7.713904748
643	-7.713906939
644	-7.713905628
645	-7.713906669
646	-7.71390661
647	-7.713906567
648	-7.713905068
649	-7.713905417
650	-7.713909863
651	-7.713907395
652	-7.713907329
653	-7.713908665
654	-7.713909599
655	-7.713909954
656	-7.713911561
657	-7.713914677
658	-7.713914344
659	-7.71391516
660	-7.713918304
661	-7.7139195
662	-7.713917519
663	-7.713919351
664	-7.713919827
665	-7.713919326
666	-7.713919257
667	-7.713919027
668	-7.713920636
669	-7.713920449
670	-7.713923516
671	-7.713923516
672	-7.713923516
673	-7.713923516
674	-7.713923516
675	-7.713923516
676	-7.713923516
677	-7.713923516
678	-7.713923516
679	-7.713923516
680	-7.713923516
681	-7.713923516
682	-7.713923516
683	-7.713923516
684	-7.713923516
685	-7.713923516
686	-7.713923516
687	-7.713923516
688	-7.713923516
689	-7.713923516
690	-7.713923516
691	-7.713923516
692	-7.713923516
693	-7.713923516
694	-7.713923516
695	-7.713923516
696	-7.713923516
697	-7.713923516
698	-7.713923516
699	-7.713923516
700	-7.713923516
701	-7.713923516
702	-7.713923516
703	-7.713923516
704	-7.713923516
705	-7.713923516
706	-7.713923516
707	-7.713923516
708	-7.713923516
709	-7.713923516
710	-7.713923516
711	-7.713923516
712	-7.713923516
713	-7.713923516
714	-7.713923516
